"participant","date","direction test","start landmark","facing landmark","target landmark","bearing","actual direction","abs error","same or different route"
"Utah_101","2017-06-05 13:06:25 -0700","0","Snow Church","Sauer Center","Lynch Station","133","79.44851915391443","53.55148084608557","different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Snow Church","Sauer Center","Harris Hall","152","88.09346154480706","63.906538455192944","different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Snow Church","Sauer Center","Harvey House","176","119.69295786010949","56.30704213989051","different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Snow Church","Sauer Center","Golledge Hall","271","125.84311454991943","145.15688545008055","same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Snow Church","Sauer Center","Snow Church","288","98.30306222775258","170.30306222775258","same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Snow Church","Sauer Center","Sauer Center","0","0.27926235158294926","0.2792623515829291","same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Snow Church","Sauer Center","Tobler Museum","306","63.69277616633406","117.69277616633406","same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Sauer Center","Tobler Museum","Batty House","283","6.744508622348706","83.74450862234869","different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Sauer Center","Tobler Museum","Lynch Station","296","17.76205492025987","81.76205492025986","different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Sauer Center","Tobler Museum","Harris Hall","317","4.240040563502388","47.24004056350236","different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Sauer Center","Tobler Museum","Harvey House","274","23.091344032837192","109.09134403283718","different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Sauer Center","Tobler Museum","Golledge Hall","313","51.85616181338527","98.85616181338526","same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Sauer Center","Tobler Museum","Snow Church","269","89.63525725921563","179.36474274078438","same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Sauer Center","Tobler Museum","Sauer Center","165","107.16801914282013","57.83198085717987","same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Sauer Center","Tobler Museum","Tobler Museum","359","2.713388186025341","3.713388186025327","same"
