"participant","date","direction test","start landmark","facing landmark","target landmark","bearing","actual direction","abs error","same or different route"
"Utah_101","2017-06-05 13:06:25 -0700","0","Snow Church","Sauer Center","Sauer Center","2","0.27926235158294926","1.7207376484170507","same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Snow Church","Sauer Center","Golledge Hall","124","125.84311454991943","1.8431145499194486","same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Sauer Center","Tobler Museum","Harris Hall","43","4.240040563502388","38.75995943649761","different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Sauer Center","Tobler Museum","Batty House","54","6.744508622348706","47.255491377651296","different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Sauer Center","Tobler Museum","Snow Church","91","89.63525725921563","1.364742740784365","same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Sauer Center","Tobler Museum","Golledge Hall","47","51.85616181338527","4.856161813385256","same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Sauer Center","Tobler Museum","Harvey House","47","23.091344032837192","23.908655967162808","different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Sauer Center","Tobler Museum","Tobler Museum","2","2.713388186025341","0.7133881860253268","same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Sauer Center","Tobler Museum","Lynch Station","30","17.76205492025987","12.237945079740129","different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Tobler Museum","Sauer Center","Batty House","16","171.00866513563622","155.00866513563622","different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Tobler Museum","Sauer Center","Harvey House","16","147.24819099679664","131.24819099679664","different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Tobler Museum","Sauer Center","Sauer Center","1","20.69981415519987","19.699814155199874","same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Tobler Museum","Sauer Center","Lynch Station","87","156.23556254554433","69.23556254554433","different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Tobler Museum","Sauer Center","Snow Church","42","38.78279808560637","3.217201914393627","same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Tobler Museum","Sauer Center","Golledge Hall","74","67.30353066020724","6.696469339792756","same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Tobler Museum","Sauer Center","Harris Hall","101","173.2852643263074","72.28526432630741","different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Batty House","Lynch Station","Lynch Station","34","47.3279838915145","13.32798389151452","same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Batty House","Lynch Station","Golledge Hall","34","51.76768153806619","17.7676815380662","different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Batty House","Lynch Station","Harvey House","4","93.19423765817854","89.19423765817851","same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Batty House","Lynch Station","Harris Hall","2","37.52863730402908","35.528637304029075","same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Batty House","Lynch Station","Snow Church","59","48.199475530819626","10.800524469180374","different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Batty House","Lynch Station","Tobler Museum","31","37.308021981292235","6.308021981292256","different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Batty House","Lynch Station","Sauer Center","43","30.33169509747685","12.66830490252315","different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Lynch Station","Harris Hall","Harvey House","70","48.195938013595914","21.804061986404086","same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Lynch Station","Harris Hall","Tobler Museum","8","17.95076442063424","9.950764420634243","different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Lynch Station","Harris Hall","Golledge Hall","8","3.3238637380609717","4.676136261939028","different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Lynch Station","Harris Hall","Harris Hall","61","7.021704670907995","53.978295329092006","same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Lynch Station","Harris Hall","Batty House","136","130.6542463331721","5.345753666827903","same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Lynch Station","Harris Hall","Sauer Center","20","29.209033423777644","9.209033423777669","different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Lynch Station","Harris Hall","Snow Church","15","8.968174613078455","6.031825386921545","different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Harris Hall","Harvey House","Lynch Station","36","114.56279427841685","78.56279427841685","same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Harris Hall","Harvey House","Tobler Museum","138","99.95984558186653","38.04015441813347","different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Harris Hall","Harvey House","Snow Church","106","84.72811220292519","21.27188779707481","different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Harris Hall","Harvey House","Golledge Hall","81","77.71082192465417","3.2891780753458306","different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Harris Hall","Harvey House","Batty House","25","83.35216568459657","58.35216568459657","same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Harris Hall","Harvey House","Harvey House","122","2.1467969036293297","119.85320309637066","same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Harris Hall","Harvey House","Sauer Center","138","110.65743363432563","27.342566365674372","different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Harvey House","Harris Hall","Harris Hall","84","4.196894849005717","79.80310515099428","same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Harvey House","Harris Hall","Sauer Center","84","46.2920539630187","37.7079460369813","different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Harvey House","Harris Hall","Golledge Hall","82","64.95302540271733","17.04697459728267","different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Harvey House","Harris Hall","Lynch Station","25","32.282464292919585","7.282464292919599","same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Harvey House","Harris Hall","Snow Church","9","66.19140237525873","57.19140237525875","different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Harvey House","Harris Hall","Tobler Museum","10","42.146158627272044","32.14615862727203","different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Harvey House","Harris Hall","Batty House","45","46.546899122186026","1.5468991221860051","same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Golledge Hall","Snow Church","Lynch Station","88","173.9683139144772","85.96831391447722","different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Golledge Hall","Snow Church","Tobler Museum","132","147.02844706156864","15.028447061568613","same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Golledge Hall","Snow Church","Batty House","93","173.56946174631722","80.56946174631719","different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Golledge Hall","Snow Church","Snow Church","4","1.2041344013641102","2.79586559863589","same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Golledge Hall","Snow Church","Harris Hall","4","176.20228061379694","172.20228061379694","different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Golledge Hall","Snow Church","Sauer Center","33","76.21088344473236","43.21088344473236","same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Golledge Hall","Snow Church","Harvey House","90","139.9309367825621","49.93093678256207","different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Snow Church","Sauer Center","Batty House","173","90.64700941659355","82.35299058340645","different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Snow Church","Sauer Center","Harris Hall","102","88.09346154480706","13.906538455192944","different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Snow Church","Sauer Center","Sauer Center","1","0.27926235158294926","0.7207376484170507","same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Snow Church","Sauer Center","Golledge Hall","150","125.84311454991943","24.156885450080566","same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Snow Church","Sauer Center","Lynch Station","110","79.44851915391443","30.551480846085568","different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Snow Church","Sauer Center","Tobler Museum","50","63.69277616633406","13.692776166334056","same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Snow Church","Sauer Center","Harvey House","50","119.69295786010949","69.69295786010946","different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Sauer Center","Tobler Museum","Tobler Museum","10","2.713388186025341","7.286611813974659","same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Sauer Center","Tobler Museum","Snow Church","10","89.63525725921563","79.63525725921562","same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Sauer Center","Tobler Museum","Batty House","177","6.744508622348706","170.25549137765128","different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Sauer Center","Tobler Museum","Harris Hall","128","4.240040563502388","123.75995943649761","different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Sauer Center","Tobler Museum","Harvey House","114","23.091344032837192","90.90865596716282","different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Sauer Center","Tobler Museum","Lynch Station","155","17.76205492025987","137.23794507974014","different"
